Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
All Night Longer,All Night Longer,seyhqnsert,4/15/2024,NL9KR2308498,4998,19.6,97901971,1,,,,,,,,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5
Oye,Oye,LuckReaper,5/15/2024,NL9KR2313387,4879,19.9,47151307,,,,,,,,,,,,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b2733ba92b218fbc97d244235a21
Smoke Gets in Your Eyes,Music Legends The Platters : The Legendary Band of R&B and Soul Music,The Platters,04-12-2024,FR6F32335350,4745,20.3,106782384,1,25,,,,,,,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee
Sprinter,25th Birthda,Central ce,06-06-2023,AEA2M2372385,4729,20.2,675375297,12,254,,,,,,,,,,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
Nashe Si Chadh Gayi,November Top 10 Songs,Arijit Singh,11-08-2016,INY091600067,4591,19.4,145467020,14037,7387064,66,1118595159,3868828,11433,2534831,37757301,25150516,1,1200,,,,7,6817840,,,448292,,0,https://i.scdn.co/image/ab67616d0000b273f5dc36d5000145375a41c3b8
"Jaragandi (From ""Game Changer"") (Telugu)","Jaragandi (From ""Game Changer"") (Telugu)",Thaman S,3/27/2024,INH102405594,4587,19.4,3754914,101,1306604,,34315313,431343,,,,,1,,,,,8,,,,3169,,0,https://i.scdn.co/image/ab67616d0000b2732278917ee16313a9a00ce21d
Dil Meri Na Sune,"Dil Meri Na Sune (From ""Genius"")",Atif Aslam,7/27/2018,INT101800122,4575,19.4,52282360,4602,1449767,56,943920245,5347766,,1721,19935,24973048,1,412,,1,927,,,,,193590,,0,https://i.scdn.co/image/ab67616d0000b273f46a9ad551acbdab8f72fd89
Grace (feat. 42 Dugg),My Turn,Lil Baby,2/28/2020,USUG12000043,4571,19.4,189972685,72066,6704802,65,201027333,1081402,7596,5288677,36849005,29253152,19,204,,1,74,6,84426740,28999,,1135998,,1,https://i.scdn.co/image/ab67616d0000b273b10cd00a5865ea695f322dd7
Already Dead,Already Dead,Juice WRLD,11-12-2021,USUG12105423,4566,19.5,229232959,68879,11741541,61,46890832,889875,51484,4989535,61564975,25926849,19,133,72,12,106859,10,10040427,6822,,289269,,1,https://i.scdn.co/image/ab67616d0000b2737459992b444de38842b9bee7
Welcome To Brixton,Welcome To Brixton,SR,11/27/2020,GBLFP2046094,4565,19.5,211596324,92484,4912325,61,95279761,1240432,67607,29678545,296502190,30,3,77,,,,,,,,958743,,1,https://i.scdn.co/image/ab67616d0000b273c833b56c4f5ca1d1849925e2
Kokomo,The Very Best Of The Beach Boys: Sounds Of Summer (Expanded Edition Super Deluxe),The Beach Boys,6/17/2022,USUG12202078,4564,19.5,271362772,128,7504,25,,,,,,,15,,,,,,128876713,181102,,,,0,https://i.scdn.co/image/ab67616d0000b273c5634c0532097e175199f07e
Pa Mi,Pa Mi,Dalex,9/20/2018,QM9WM1800095,4563,19.5,50739695,7202,909473,34,858702700,4315847,,546773,4591851,12507864,4,207,11,3,18552,,9699636,3187,,342074,,1,https://i.scdn.co/image/ab67616d0000b273b9242ba03ab231608f123e06
Outside Today,Outside Today,YoungBoy Never Broke Again,01-11-2018,USAT21800223,4561,19.5,347754650,77541,8703094,65,262512471,1713131,120875,9317681,44191712,3853313,17,918,,3,8039,,202437193,143554,,923983,,1,https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2
NASTY,NASTY,Russ,3/17/2023,QZQAY2314815,4560,19.5,23388367,9896,632527,50,42955563,460377,656241,50794628,511034419,4219869,,1224,837,,,,12660506,4381,,57729,,1,https://i.scdn.co/image/ab67616d0000b2731aa15c9a7287aaf7d5339928
Traicionera,Traicionera,Sebastian Yatra,6/24/2016,USUM71605331,4559,19.5,650511999,47448,15918487,67,795920437,4151098,162505,3991939,60797733,121660111,56,10134,37,42,79655,18,104115282,26343,,2233388,,0,https://i.scdn.co/image/ab67616d0000b273a04e5df68ea4c891a4252c7e
Daylight,Harry's House,Harry Styles,5/20/2022,USSM12200613,4558,19.5,377242486,42233,11501240,68,46848683,1141593,80961,39903732,224312083,62344312,21,4931,218,22,581162,8,20446088,4196,165194,224414,,0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Don't You Worry Child - Radio Edit,Until Now,Swedish House Mafia,01-01-2012,GBAAA1200728,4557,19.5,1088273121,203395,83814501,76,20942928,209498,25739,16932344,115452865,39509629,142,166092,,76,636337,46,293997575,349531,,102837,,0,https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e
Delilah (pull me out of this),Delilah (pull me out of this),Fred again..,10/17/2022,GBAHS2201028,4555,19.5,172321571,38159,7282524,61,441247,5740,23200,8183076,164453741,,46,16471,27,8,10505,22,353677,493,3734930,615432,,0,https://i.scdn.co/image/ab67616d0000b27320f9c767b8624a234a578f21
Asesina - Remix,Asesina (Remix),Brytiago,10/31/2018,QM6P41831934,4554,19.5,285851797,41294,10037160,57,658375389,2669794,6817,2802860,15966689,31982622,16,3073,6,12,73841,,9828021,4717,,764140,,0,https://i.scdn.co/image/ab67616d0000b273007a2b31feaf77c6c4af778e
Morado,Morado,J Balvin,01-09-2020,USUM71924691,4553,19.5,485274842,65140,16620315,58,257045287,2076627,151922,9099573,96188508,40113725,76,212,116,27,160369,18,58365539,8468,,1227531,,0,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d
Focus,Focus,Ariana Grande,10/30/2015,USUM71516960,4551,19.5,315697428,27166,9169246,57,1033104472,6459847,319300,9810976,61451981,291876127,84,6723,1,31,227649,5,65640640,38385,4570896,1966828,,0,https://i.scdn.co/image/ab67616d0000b273d6ec808748fa5b0c2d3a6618
Freezing,Freezing - EP,purpl,02-02-2023,FR10S2303559,4550,19.5,,8,565,1,235195644,194030,,,,,,9,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b273d72a0ec117ae8f29732888de
What's Love Got to Do with It,What's Love Got to Do with It,Kygo,7/17/2020,SEBGA2000676,4549,19.5,256297608,58370,25841346,62,66278933,517295,,,,3302263,90,220485,,61,750715,26,7386484,3123,,2387310,,0,https://i.scdn.co/image/ab67616d0000b273f0b43fee481f279a186dff20
SNAP - High and Fast,SNAP PACK - EP,Rosa Linn,7/15/2022,USSM12207368,4548,19.5,138349331,15155,4683187,59,2006799,61403,1277321,368213517,3723954244,,7,72,,1,203,8,,,817629,1936170,,0,https://i.scdn.co/image/ab67616d0000b273bf8502cd9ede8601f36b3dcb
"Tu Juliet Jatt Di ( From ""Jatt & Juliet 3"")","Tu Juliet Jatt Di ( From ""Jatt & Juliet 3"")",Diljit Dosanjh,5/24/2024,INM432400129,4547,19.5,1633647,160,2592948,,9700826,164575,,,,19904542,8,29,,,,4,,,,5598,,0,https://i.scdn.co/image/ab67616d0000b273a062ab65af4a67d792aba1f1
You,You,Willy Paul,11/25/2022,QZW9K2296922,4546,19.5,330280,174,8772,20,6023690,52656,1700000,19786116,267911446,,,,,,,,,,,184355,,0,https://i.scdn.co/image/ab67616d0000b27309a7d565f68e0f9955e188c9
Tera Fitoor,"Tera Fitoor (From ""Genius"")",Arijit Singh,07-12-2018,INT101800121,4545,19.5,108748134,8561,5661296,68,900050812,4918218,114,24716,331691,32388440,4,721,,,,,396783,321,,203282,,0,https://i.scdn.co/image/ab67616d0000b273b10cd00a5865ea695f322dd7
